ID,Level,Money
202327038,3,9985600
202327038,9,9981700
202327038,10,9980700
202327038,11,9979600
202327038,12,9978400
202327038,13,9977100
202327033,1,10000000
qwe,2,9999800
qwe,1,10009800
qwe,1,10009800
qwe,1,10009800
qwe,1,10009800
qwe,1,10009800
qwe,1,10009800
qwe,1,10009800
qwe,1,10009800
qwe,1,10009800
qwe,1,10009800
qwe,2,10009600
qwe,3,10009300
qwe,1,10009300
qwe,2,10009100
qwe,3,10008800
asd,2,9999800
asd,2,9999800
asd,3,9999500
asd,4,9999100
asd,5,9998600
asd,6,9998000
asd,7,9997300
asd,8,9996500
asd,9,9995600
asd,10,9994600
asd,11,9993500
asd,12,9992300
asd,13,9991000
asd,1,9991000
asd,2,9999800
asd,2,9999800
asd,2,9999800
asd,2,9999800
asd,3,9999500
asd,4,9999100
asd,5,9998600
asd,6,9998000
asd,7,9997300
asd,8,9996500
asd,9,9995600
asd,10,9994600
asd,11,9993500
asd,12,9992300
asd,13,9991000
asd,14,9989600
asd,15,9988100
asd,1,9988100
qwe,2,9999800
qwe,3,9999400
qwe,4,9998800
qwe,1,9998800
qwe,2,9998600
qwe,3,9998200
qwe,4,9997600
qwe,5,9996800
qwe,6,9995600
qwe,7,9994100
qwe,8,9992100
qwe,9,9989800
qwe,10,9987300
qwe,11,9984500
qwe,12,9981500
qwe,13,9978200
qwe,14,9974400
qwe,15,9970400
qwe,1,9976400
asd,2,9800
asd,3,9400
asd,4,8800
asd,5,8000
asd,6,6800
asd,7,5300
asd,8,3300
asd,9,1000
asd,10,-1500
